suite,algorithm,map_index,agent_num,episode,success,collision,timeout,steps,reward,path_distance,elapsed_time,avg_step_time,device
compare,ppo_abc,2,5,7,True,False,False,36,2584.0,1658.727466583252,7.705322315916419,0.21403107607814795,cuda:0
compare,ppo_abc,2,5,8,True,False,False,112,24630.0,4274.820175170898,24.339504076866433,0.21731303075960437,cuda:0
compare,ppo_abc,2,5,9,True,False,False,64,5238.0,2647.5647163391113,13.769974761875346,0.21515121820630156,cuda:0
compare,ppo_abc,0,10,0,False,False,True,200,89848.0,12281.141780853271,43.757652876898646,0.21878455736092292,cuda:0
compare,ppo_abc,0,10,1,False,False,True,200,57856.0,12721.398750305176,43.25342002301477,0.2162635148409754,cuda:0
compare,ppo_abc,0,10,2,False,False,True,200,64136.0,12074.429279327393,43.18417152715847,0.21591735120047814,cuda:0
compare,ppo_abc,0,10,3,False,False,True,200,128814.0,12512.746715545654,44.02183702797629,0.2201055971160531,cuda:0
compare,ppo_abc,0,10,4,False,False,True,200,90886.0,12623.227485656738,43.498199752066284,0.2174875672790222,cuda:0
compare,ppo_abc,0,10,5,False,False,True,200,99130.0,12714.10648727417,43.91983314207755,0.2195957059180364,cuda:0
compare,ppo_abc,0,10,6,False,False,True,200,135768.0,13296.906665802002,44.79635973297991,0.22397827761946246,cuda:0
compare,ppo_abc,0,10,7,False,False,True,200,82340.0,11771.499626159668,43.03395971399732,0.21516623316565528,cuda:0
compare,ppo_abc,0,10,8,False,False,True,200,78020.0,12687.894157409668,43.15719172288664,0.21578252860344946,cuda:0
compare,ppo_abc,0,10,9,False,False,True,200,126584.0,12683.828437805176,43.96167461993173,0.21980479957419446,cuda:0
compare,ppo_abc,1,10,0,False,False,True,200,116514.0,13027.908531188965,49.58102731802501,0.24790149773703887,cuda:0
compare,ppo_abc,1,10,1,False,False,True,200,129670.0,13107.268074035645,50.09812306705862,0.2504871159349568,cuda:0
compare,ppo_abc,1,10,2,False,True,False,52,6688.0,4329.075759887695,12.521098875906318,0.24078567039955837,cuda:0
compare,ppo_abc,1,10,3,False,False,True,200,82374.0,12639.24104309082,48.589990162989125,0.24294628044357525,cuda:0
compare,ppo_abc,1,10,4,True,False,False,109,51818.0,7959.999961853027,26.6011913290713,0.2440437253697032,cuda:0
compare,ppo_abc,1,10,5,False,False,True,200,109566.0,13401.708782196045,50.179275745060295,0.25089197492226956,cuda:0
compare,ppo_abc,1,10,6,False,False,True,200,141740.0,12903.002555847168,51.35279632802121,0.256760397576727,cuda:0
compare,ppo_abc,1,10,7,False,False,True,200,113266.0,12125.26634979248,49.230341367889196,0.2461479678528849,cuda:0
compare,ppo_abc,1,10,8,False,False,True,200,125230.0,13558.59602355957,50.05164942308329,0.2502546002785675,cuda:0
compare,ppo_abc,1,10,9,False,False,True,200,118226.0,12416.567096710205,49.75148740503937,0.24875373697839678,cuda:0
compare,ppo_abc,2,10,0,False,False,True,200,138122.0,13260.830879211426,45.167925965972245,0.22583599854959174,cuda:0
compare,ppo_abc,2,10,1,False,False,True,200,107600.0,11745.441036224365,43.95871776994318,0.21979011935531162,cuda:0
